kpn,parent_kpn
KPN543,KPN207
KPN544,KPN184
KPN545,KPN248
KPN546,KPN243
KPN547,KPN227
KPN548,KPN267
KPN549,KPN212
KPN550,KPN261
KPN551,KPN267
KPN552,KPN232
KPN553,KPN252
KPN554,KPN216
KPN555,KPN218
KPN556,KPN244
KPN557,KPN184
KPN558,KPN279
KPN559,KPN279
KPN560,KPN209
KPN561,KPN199
KPN562,KPN243
KPN563,KPN243
KPN564,KPN243
KPN565,KPN249
KPN566,KPN284
KPN567,KPN326
KPN568,KPN284
KPN569,KPN350
KPN570,KPN284
KPN571,KPN310
KPN572,KPN279
KPN573,KPN350
KPN574,KPN302
KPN575,KPN229
KPN576,KPN263
KPN577,KPN248
KPN578,KPN227
KPN579,KPN229
KPN580,KPN229
KPN581,KPN227
KPN582,KPN261
KPN583,KPN261
KPN584,KPN256
KPN585,KPN184
KPN586,KPN243
KPN587,KPN232
KPN588,KPN279
KPN589,KPN256
KPN590,KPN338
KPN591,KPN338
KPN592,KPN333
KPN593,KPN334
KPN594,KPN281
KPN595,KPN336
KPN596,KPN273
KPN597,KPN310
KPN598,KPN200
KPN599,KPN248
KPN600,KPN248
KPN601,KPN248
KPN602,KPN289
KPN603,KPN267
KPN604,KPN267
KPN605,KPN281
KPN606,KPN338
KPN607,KPN327
KPN608,KPN327
KPN609,KPN227
KPN610,KPN336
KPN611,KPN279
KPN612,KPN281
KPN613,KPN227
KPN614,KPN263
KPN615,KPN336
KPN616,KPN336
KPN617,KPN281
KPN618,KPN244
KPN619,KPN249
KPN620,KPN338
KPN621,KPN263
KPN622,KPN267
KPN623,KPN249
KPN624,KPN310
KPN625,KPN333
KPN626,KPN279
KPN627,KPN256
KPN628,KPN333
KPN629,KPN338
KPN630,KPN273
KPN631,KPN336
KPN632,KPN338
KPN633,KPN338
KPN634,KPN338
KPN635,KPN281
KPN636,KPN333
KPN637,KPN334
KPN638,KPN273
KPN639,KPN334
KPN640,KPN336
KPN641,KPN330
KPN642,KPN281
KPN643,KPN310
KPN644,KPN387
KPN645,KPN387
KPN646,KPN394
KPN647,KPN338
KPN648,KPN338
KPN649,KPN336
KPN650,KPN387
KPN651,KPN333
KPN652,KPN338
KPN653,KPN393
KPN654,KPN281
KPN655,KPN333
KPN656,KPN337
KPN657,KPN333
KPN658,KPN330
KPN659,KPN333
KPN660,KPN338
KPN661,KPN330
KPN662,KPN249
KPN663,KPN482
KPN664,KPN348
KPN665,KPN334
KPN666,KPN354
KPN667,KPN330
KPN668,KPN330
KPN669,KPN281
KPN670,KPN388
KPN671,KPN333
KPN672,KPN273
KPN673,KPN310
KPN674,KPN407
KPN675,KPN448
KPN676,KPN369
KPN677,KPN588
KPN678,KPN330
KPN679,KPN267
KPN680,KPN558
KPN681,KPN546
KPN682,KPN369
KPN683,KPN482
KPN684,KPN393
KPN685,KPN338
KPN686,KPN330
KPN687,KPN388
KPN688,KPN338
KPN689,KPN448
KPN690,KPN338
KPN691,KPN338
KPN692,KPN330
KPN693,KPN450
KPN694,KPN338
KPN695,KPN460
KPN696,KPN369
KPN697,KPN333
KPN698,KPN452
KPN699,KPN393
KPN700,KPN388
KPN701,KPN369
KPN702,KPN354
KPN703,KPN393
KPN704,KPN393
KPN705,KPN448
KPN706,KPN460
KPN707,KPN452
KPN708,KPN452
KPN709,KPN460
KPN710,KPN460
KPN711,KPN484
KPN712,KPN387
KPN713,KPN452
KPN714,KPN460
KPN715,KPN388
KPN716,KPN369
KPN717,KPN388
KPN718,KPN484
KPN719,KPN486
KPN720,KPN506
KPN721,KPN484
KPN722,KPN460
KPN723,KPN472
KPN724,KPN480
KPN725,KPN369
KPN726,KPN452
KPN727,KPN480
KPN728,KPN486
KPN729,KPN387
KPN730,KPN452
KPN731,KPN486
KPN732,KPN472
KPN733,KPN458
KPN734,KPN452
KPN735,KPN273
KPN736,KPN334
KPN737,KPN334
KPN738,KPN263
KPN739,KPN388
KPN740,KPN369
KPN741,KPN338
KPN742,KPN338
KPN743,KPN393
KPN744,KPN450
KPN745,KPN369
KPN746,KPN393
KPN747,KPN369
KPN748,KPN485
KPN749,KPN452
KPN750,KPN546
KPN751,KPN521
KPN752,KPN546
KPN753,KPN485
KPN754,KPN506
KPN755,KPN460
KPN756,KPN486
KPN757,KPN486
KPN758,KPN369
KPN759,KPN485
KPN760,KPN369
KPN761,KPN460
KPN762,KPN369
KPN763,KPN369
KPN764,KPN452
KPN765,KPN484
KPN766,KPN369
KPN767,KPN369
KPN768,KPN387
KPN769,KPN480
KPN770,KPN485
KPN771,KPN460
KPN772,KPN456
KPN773,KPN506
KPN774,KPN452
KPN775,KPN485
KPN776,KPN506
KPN777,KPN480
KPN778,KPN506
KPN779,KPN521
KPN780,KPN486
KPN781,KPN538
KPN782,KPN484
KPN783,KPN538
KPN784,KPN457
KPN785,KPN486
KPN786,KPN496
KPN787,KPN369
KPN788,KPN480
KPN789,KPN480
KPN790,KPN484
KPN791,KPN484
KPN792,KPN458
KPN793,KPN484
KPN794,KPN413
KPN795,KPN484
KPN796,KPN449
KPN797,KPN458
KPN798,KPN486
KPN799,KPN484
KPN800,KPN480
KPN801,KPN480
KPN802,KPN538
KPN803,KPN538
KPN804,KPN538
KPN805,KPN538
KPN806,KPN486
KPN807,KPN538
KPN808,KPN486
KPN809,KPN538
KPN810,KPN538
KPN811,KPN538
KPN812,KPN538
KPN813,KPN484
KPN814,KPN484
KPN815,KPN521
KPN816,KPN369
KPN817,KPN538
KPN818,KPN538
KPN819,KPN538
KPN820,KPN484
KPN821,KPN484
KPN822,KPN448
KPN823,KPN484
KPN824,KPN521
KPN825,KPN538
KPN826,KPN538
KPN827,KPN538
KPN828,KPN538
KPN829,KPN413
KPN830,KPN449
KPN831,KPN531
KPN832,KPN449
KPN833,KPN480
KPN834,KPN486
KPN835,KPN480
KPN836,KPN484
KPN837,KPN484
KPN838,KPN486
KPN839,KPN486
KPN840,KPN480
KPN841,KPN505
KPN842,KPN505
KPN843,KPN500
KPN844,KPN538
KPN845,KPN538
KPN846,KPN500
KPN847,KPN507
KPN848,KPN571
KPN849,KPN497
KPN850,KPN431
KPN851,KPN507
